Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
355a2452-57c4-3162-874d-f15f03774f6f,WEDOWEE HOSPITAL,209 NORTH MAIN STREET,WEDOWEE,AL,36278,33.308004,-85.4865,2563572111,3.8229795E7,4997
b47996b8-bf0c-388c-b9e3-caca6954c566,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,32.893522999999995,-85.444009,2059325966,4.3003121E7,5637
ee1c9b5e-f6b3-3007-8ebb-a2d5e5420c49,VESTER HEALTH CENTER LLC,140 1ST ST SE,LAFAYETTE,AL,36862-2304,32.893522999999995,-85.444009,334-864-7887,9202375.0,73712
7872d7a3-397d-3e93-949c-dcc2523893cb,TANNER PRIMARY CARE OF WEDOWEE INC,1030 MAIN S ST,WEDOWEE,AL,36278,33.279927,-85.508691,770-812-5071,4235000.0,33914
5d112eb5-2a31-3da6-8b93-3a89ba319ffb,ANDRE D FERIA MD,4459 HWY 431,ROANOKE,AL,36274-2603,33.191497,-85.33073900000001,334-863-8365,241000.0,1932
0e153cc3-2532-3298-a820-71cb05841677,PCP180370,1235 YANCEY ST,ROANOKE,AL,36274-2141,33.191497,-85.33073900000001,,214875.0,1720
5c155665-ffca-3452-8574-5ad5abc65da8,WEST GEORGIA UROLOGY ASSOCIATES  P.C.,1030 MAIN S ST,WEDOWEE,AL,36278-7440,33.279927,-85.508691,770-834-6988,4339375.0,34760
b60b4b32-303c-3a66-b667-c9738c98154c,HARRIS LAKE EMERGENCY PHYSICIANS LLC,1032 MAIN ST S,WEDOWEE,AL,36278-7440,33.279927,-85.508691,256-357-2111,4309125.0,34520
33883cdc-37c8-3f15-bf31-d50fbaddb4e7,EAST ALABAMA HEART AND VASCULAR  LLC,965 HWY 431,ROANOKE,AL,36274-7329,33.191497,-85.33073900000001,334-466-4000,265750.0,2128
565c9116-b407-3d5d-846d-9c0d10755a6c,EAST ALABAMA HEART AND VASCULAR  LLC,209 MAIN S ST,WEDOWEE,AL,36278-5139,33.279927,-85.508691,256-357-2111,4625000.0,37050
264a11bf-9339-32a9-be11-1dd1188b91d2,THE HEART CENTER CARDIOLOGY  PC,209 MAIN S ST,WEDOWEE,AL,36278-5139,33.279927,-85.508691,334-321-3700,4550375.0,36441
6de6e458-013e-343d-84d0-f729b7ec4eb1,PCP233789,59664 HWY 22,ROANOKE,AL,36274-4438,33.191497,-85.33073900000001,,229500.0,1839
cf902d9f-c494-36b2-bfe8-a05824518674,ALTAPOINTE HEALTH SYSTEMS INC.,706 MAIN ST,ROANOKE,AL,36274-1402,33.191497,-85.33073900000001,251-450-2211,233375.0,1867
bfa4addf-692a-3a09-baf5-4e15e3582014,RANDOLPH MEDICAL ASSOCIATES  PC,965 HWY 431,ROANOKE,AL,36274-7329,33.191497,-85.33073900000001,334-863-2141,171625.0,1375
fb66a883-c044-31c6-be91-c48748a3dba7,TANNER MEDICAL GROUP INC,1030 MAIN ST S,WEDOWEE,AL,36278-7440,33.279927,-85.508691,256-357-2188,4518625.0,36201
bf507ec7-c4bc-3e68-9332-9ec7b6dac361,QUALITY OF LIFE HEALTH SERVICES INC,404 9TH AVE SW,LAFAYETTE,AL,36862-2806,32.893522999999995,-85.444009,334-864-8659,9053500.0,72527
82dbf2a4-808a-394d-9642-bfea67221457,ELITE REHAB,935 US HWY 431 1,ROANOKE,AL,36274,33.191497,-85.33073900000001,334-863-2068,235750.0,1888
e3d02c3f-84b6-3335-a665-43a22c8d47fa,REGIONAL HEALTH MANAGEMENT CORPORATION,1950 MAIN ST,ROANOKE,AL,36274-2512,33.191497,-85.33073900000001,334-863-2311,231625.0,1854
8f133431-956a-34b4-b6db-9125f30cce50,PCP315563,1032 MAIN ST S,WEDOWEE,AL,36278-7440,33.279927,-85.508691,,4394375.0,35195
7ffc9f6c-38af-3046-9584-905cacc6549d,ADVANCED CARDIOVASCULAR  LLC,965 HWY 431,ROANOKE,AL,36274-7329,33.191497,-85.33073900000001,334-863-4557,248875.0,1994
