Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1689930.18,257818.64,61795000.00,10669,0,273,0,1413,0,12937,0,1146,0.6856683744876989,143208
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,1991695.30,119943.23,33693000.00,11461,0,341,0,1625,0,13728,0,1084,0.8948477686086163,141228
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,55371056.73,8862941.76,629498000.00,199811,0,1010,0,10864,0,232752,0,5514,0.8729251834598539,2670840
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,6967843.00,1638800.00,573357300.00,27158,0,0,128,1513,0,31056,0,869,0.9716862161007576,339948
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,5273281.71,1129738.73,446232600.00,19958,0,84,0,1101,0,22962,0,638,0.9716317877183693,249840
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,4708868.00,889210.00,408824900.00,17478,0,0,73,932,0,20848,0,559,0.9720349514994677,216936
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,4660882.00,767000.00,404800000.00,16518,0,0,89,974,0,20004,0,522,0.9709820255362037,204240
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,4383251.00,699660.00,423242400.00,15833,0,0,71,890,0,18461,0,456,0.9758060080541215,203232
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,1234155.00,577720.00,409191200.00,14495,381,0,88,47,805,17615,0,455,0.9721079658863324,187764
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,34437021.91,0.00,0,87275,0,534,0,5802,0,99629,2158,1.2846953481005468,1024728
